"numero_empenho","ano_empenho","data_empenho","tipo_licitacao","numero_processo","codigo_orgao","descricao_orgao","codigo_unidade","descricao_unidade","codigo_funcao","descricao_funcao","codigo_subfuncao","descricao_subfuncao","codigo_programa","descricao_programa","codigo_projeto","descricao_projeto","codigo_recurso","descricao_recurso","favorecido","cnpjcpf_favorecido","descricao_item","quantidade_item","valor_unitario_item","valor_total_itens","valor_empenho","valor_liquidado","valor_pago"
"3715",2020,"2020-07-13","NÃO APLICÁVEL Numero Licitação : 010330","011095/2020-51",18,"SECRETARIA MUNIC. DO TRABALHO E ASSISTENCIA SOCIAL",49,"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FUMAS",8,"ASSISTÊNCIA SOCIAL",244,"ASSISTÊNCIA COMUNITÁRIA",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1053,"SEMTAS - NATAL NO COMBATE AO NOVO CORONA",13110001,"TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL ASSIST - COVID","CENTRO SOCIO PASTORAL NOSSA SENHORA DA C","09428764000157","CONVÊNIO ENTIDADES PRIVADAS SEM FINS LUCRATIVOS","1.00","22800.00","22800.00","22800.00","7600.00","7600.00"
"3715",2020,"2020-07-13","NÃO APLICÁVEL Numero Licitação : 010330","011095/2020-51",18,"SECRETARIA MUNIC. DO TRABALHO E ASSISTENCIA SOCIAL",49,"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FUMAS",8,"ASSISTÊNCIA SOCIAL",244,"ASSISTÊNCIA COMUNITÁRIA",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1053,"SEMTAS - NATAL NO COMBATE AO NOVO CORONA",13110001,"TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL ASSIST - COVID","CENTRO SOCIO PASTORAL NOSSA SENHORA DA C","09428764000157","CONVÊNIO ENTIDADES PRIVADAS SEM FINS LUCRATIVOS","1.00","22800.00","22800.00","22800.00","7600.00","7600.00"
"3715",2020,"2020-07-13","NÃO APLICÁVEL Numero Licitação : 010330","011095/2020-51",18,"SECRETARIA MUNIC. DO TRABALHO E ASSISTENCIA SOCIAL",49,"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FUMAS",8,"ASSISTÊNCIA SOCIAL",244,"ASSISTÊNCIA COMUNITÁRIA",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1053,"SEMTAS - NATAL NO COMBATE AO NOVO CORONA",13110001,"TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL ASSIST - COVID","CENTRO SOCIO PASTORAL NOSSA SENHORA DA C","09428764000157","CONVÊNIO ENTIDADES PRIVADAS SEM FINS LUCRATIVOS","1.00","22800.00","22800.00","22800.00","7600.00","7600.00"
"3580",2020,"2020-07-06","DISPENSA DE LICITAÇÃO","008504/2020-31",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",10010001,"ORDINÁRIOS - COVID","EBARA TECNOLOGIA COM. E SERV. EM INFORMÁ","04471402000125","TABLET","6.00","1390.00","8340.00","8340.00","8340.00","8340.00"
"3580",2020,"2020-07-06","DISPENSA DE LICITAÇÃO","008504/2020-31",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",10010001,"ORDINÁRIOS - COVID","EBARA TECNOLOGIA COM. E SERV. EM INFORMÁ","04471402000125","TABLET","6.00","1390.00","8340.00","8340.00","8340.00","8340.00"
"3580",2020,"2020-07-06","DISPENSA DE LICITAÇÃO","008504/2020-31",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",10010001,"ORDINÁRIOS - COVID","EBARA TECNOLOGIA COM. E SERV. EM INFORMÁ","04471402000125","TABLET","6.00","1390.00","8340.00","8340.00","8340.00","8340.00"
"3669",2020,"2020-07-09","DISPENSA DE LICITAÇÃO","010294/2020-41",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",12140001,"CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - COVID","PROLIMP PRODUTOS E SERVIÇOS EIRELI","40764896000108","SACO PLÁSTICO","1000.00","38.34","38340.00","56435.20","0.00","0.00"
"3669",2020,"2020-07-09","DISPENSA DE LICITAÇÃO","010294/2020-41",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",12140001,"CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - COVID","PROLIMP PRODUTOS E SERVIÇOS EIRELI","40764896000108","SACO PLÁSTICO","1000.00","38.34","38340.00","56435.20","0.00","0.00"
"3669",2020,"2020-07-09","DISPENSA DE LICITAÇÃO","010294/2020-41",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",12140001,"CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - COVID","PROLIMP PRODUTOS E SERVIÇOS EIRELI","40764896000108","PAPEL HIGIÊNICO","60.00","55.37","3322.20","56435.20","0.00","0.00"
"3669",2020,"2020-07-09","DISPENSA DE LICITAÇÃO","010294/2020-41",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",12140001,"CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - COVID","PROLIMP PRODUTOS E SERVIÇOS EIRELI","40764896000108","PAPEL HIGIÊNICO","60.00","55.37","3322.20","56435.20","0.00","0.00"
"3669",2020,"2020-07-09","DISPENSA DE LICITAÇÃO","010294/2020-41",20,"SECRETARIA MUNICIPAL DE SAUDE",49,"FUNDO MUNICIPAL DE SAUDE",10,"SAUDE",122,"ADMINISTRAÇÃO GERAL",1,"ATIVIDADES DE APOIO ADMINISTRATIVO",1051,"SMS - NATAL NO COMBATE AO NOVO CORONAVIR",12140001,"CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - COVID","PROLIMP PRODUTOS E SERVIÇOS EIRELI","40764896000108","LIXEIRA","80.00","89.90","7192.00","56435.20","0.00","0.00"
